time,pressure
0.001,104.0989
0.001,104.102
0.076,104.1208
0.174,104.0262
0.271,103.7383
0.369,103.731
0.467,103.8172
0.565,103.8485
0.663,103.9034
0.76,103.9511
0.858,103.9532
0.956,103.8694
1.054,103.8071
1.151,103.8292
1.249,103.9178
1.347,103.924
1.445,103.8846
1.543,103.8731
1.64,103.8579
1.738,103.7966
1.836,103.7488
1.934,103.7422
2.031,103.7334
2.129,103.7512
2.227,103.7964
2.325,103.7635
2.423,103.7236
2.52,103.6206
2.618,103.4877
2.716,103.3368
2.814,103.1832
2.912,103.2299
3.009,103.3281
3.107,103.3932
3.205,103.3498
3.303,103.1514
3.4,102.9929
3.498,103.0095
3.596,102.98
3.694,102.8639
3.792,102.729
3.889,102.6154
3.987,102.6077
4.085,102.5901
4.183,102.5682
4.28,102.5365
4.378,102.363
4.476,102.1247
4.574,101.9123
4.672,101.9569
4.77,102.042
4.867,102.1319
4.965,102.1554
5.063,102.1441
5.161,102.1366
5.259,102.0876
5.356,102.0469
5.454,102.1758
5.552,102.2498
5.65,102.2506
5.748,102.2681
5.845,102.2536
5.943,102.2346
6.041,102.1899
6.139,102.1663
6.236,102.206
6.334,102.2804
6.432,102.368
6.53,102.4464
6.628,102.5188
6.725,102.4477
6.823,102.4124
6.921,102.6335
7.019,102.8489
7.116,102.7859
7.214,102.7571
7.312,102.8044
7.41,103.0833
7.508,105.5913
7.606,108.6201
7.703,108.7137
7.801,107.3876
7.899,106.0151
7.997,105.1063
8.095,104.4057
8.192,103.6753
8.29,102.2839
8.388,100.1857
8.486,99.0511
8.584,98.6507
8.682,98.3884
8.779,98.3076
8.877,98.3813
8.975,98.3008
9.073,97.7993
9.17,97.5784
9.268,97.5141
9.366,96.9991
9.464,96.6759
9.562,96.6591
9.66,96.6989
9.757,96.6775
9.855,96.6642
9.953,96.6902
10.051,96.6665
10.149,96.5931
10.247,96.4987
10.344,96.4416
10.442,96.8462
10.54,97.2508
10.638,97.3822
10.736,97.2374
10.833,96.7493
10.931,95.8567
11.029,95.3985
11.127,95.4043
11.225,95.3444
